"id","literal","agregacao"
"148","Abastecimento de água","A"
"70","Abate de animais","A"
"110","Acesso a esgotamento sanitário","A"
"147","Acesso à internet","A"
"107","Acesso a serviço de coleta de lixo doméstico","A"
"146","Acesso a serviços de telefonia","A"
"109","Acesso a sistema de abastecimento de água","A"
"316","Acidentes","A"
"221","Acidentes, violência e segurança","A"
"128","Adequação de moradia","A"
"245","Agenda 21 Local","A"
"208","Aglomerado subnormal","A"
"88","Agricultura Familiar","A"
"78","Agroindústria rural","A"
"296","Água potável e saneamento","A"
"163","Alimentação","A"
"188","Alojamento e/ou alimentação","A"
"181","Antropometria","A"
"49","Aquisição","A"
"230","Aquisição de produtos alimentícios","A"
"97","Área remanescente e desflorestamento na Mata Atlântica e nas formações vegetais litorâneas","A"
"104","Áreas protegidas","A"
"248","Articulações interinstitucionais","A"
"223","Asma","A"
"315","Atenção primária à saúde","A"
"62","Atividade","A"
"165","Atividade física","A"
"189","Atividades imobiliárias","A"
"133","Balança comercial","A"
"100","Balneabilidade","A"
"306","Boa saúde e bem-estar","A"
"310","Características adicionais do mercado de trabalho","A"
"214","Características básicas","A"
"290","Características da escola","A"
"161","Características da pessoa","A"
"162","Características do domicílio","A"
"313","Características do domicílio e serviços domiciliares de saúde","A"
"317","Características do trabalho e apoio social","A"
"43","Características dos estabelecimentos agropecuários ","A"
"44","Características dos produtores agropecuários ","A"
"175","Características gerais da população","A"
"210","Características gerais dos indígenas","A"
"4","Casamentos","A"
"297","Cidades e comunidades sustentáveis","A"
"314","Cobertura de plano de saúde","A"
"129","Coeficiente de mortalidade por homicídios ou por acidentes de transporte","A"
"141","Coleta seletiva de lixo","A"
"83","Comércio","A"
"243","Comitês de Bacias Hidrográficas","A"
"218","Comportamento alimentar","A"
"92","Concentração de poluentes no ar em áreas urbanas","A"
"309","Confederação da Agricultura e Pecuária do Brasil (CNA)","A"
"79","Construção civil","A"
"51","Consumo alimentar","A"
"135","Consumo de energia per capita","A"
"138","Consumo mineral per capita","A"
"81","Contas Nacionais e Regionais","A"
"217","Contexto familiar","A"
"216","Contexto socioeconômico","A"
"59","Cor ou raça","A"
"184","Correio e/ou telecomunicações","A"
"71","Couro","A"
"330","Covid-19","A"
"277","Crianças com menos de 2 anos","A"
"60","Deficiência","A"
"80","Desenvolvimento sustentável","A"
"98","Desertificação e arenização","A"
"96","Desflorestamento na Amazônia Legal","A"
"213","Deslocamento","A"
"207","Desmatamento do Cerrado","A"
"249","Desmatamento nos Biomas","A"
"50","Despesa","A"
"108","Destinação final do lixo","A"
"6","Divórcios","A"
"268","Doenças crônicas","A"
"124","Doenças relacionadas ao saneamento ambiental inadequado","A"
"318","Doenças transmissíveis","A"
"20","Domicílios","A"
"27","Educação","A"
"302","Educação de qualidade","A"
"156","Emigração","A"
"91","Emissões de origem antrópica dos gases associados ao efeito estufa","A"
